job_title,job_description,company,location,source_fetch_date,source
data science modeler," As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",Avero,"Boulder, CO",2019-04-09,indeed
director integrated data science," Demonstrated knowledge of programming expertise necessary to support data modeling. Demonstrated knowledge of advanced modeling techniques, including data…",UPMC,"Loveland, CO",2019-04-09,indeed
data scientist," University bachelor’s degree in data science, data analysis, statistics, applied mathematics, computer science, engineering, or any other related discipline;…",Willis Towers Watson,"Denver, CO",2019-04-09,indeed
data scientist, Effectively represent the Data Science group in a collaborative environment to execute on company goals. Data visualization software and tools.,Valen Analytics,"Denver, CO",2019-04-09,indeed
sr business analyst / data scientist, See the data “forest for the trees” and help identify connections between existing data sets and holes that could be filled by new analytics and data sets.,PHOENIX,"Denver, CO",2019-04-09,indeed
data engineer, Troubleshoot basic data and data engineering issues. Develop technical solutions to improve data and data usage. Perform data cleansing and validation.,Valen Analytics,"Denver, CO",2019-04-09,indeed
data scientist," Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite hardware, software, and bandwidth…",Horizontal,"Broomfield, CO",2019-04-09,indeed
data scientist, Data Science: 3 years (Preferred). Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite…,Pricesenz,"Broomfield, CO",2019-04-09,indeed
data science analyst, Data Engineer Tech – :Cleaning and Integrating Dirty Data. Could pass ad-hoc technical and whiteboard test given various data ETL and other patterns of real…,xentity corporation,"Denver, CO",2019-04-09,indeed
"senior applications scientist, bioinformatics/data science"," Expertise in probability & statistics, machine learning, high dimensional and high throughput data analysis and fundamentals of data science, including data…",Inscripta,"Boulder, CO",2019-04-09,indeed
data science analyst, Working knowledge of basic data science concepts such as: Synthesize data learnings into compelling stories and communicate to stakeholders.,Payfone,"Denver, CO",2019-04-09,indeed
data science intern," Maxar is looking for a Data Science Intern, to join out 2020 Summer Internship Program, who is excited about working big corpuses of data and novel analytical…",Maxar Technologies,"Westminster, CO",2019-04-09,indeed
data science journalist, Some practical data science experience. Analyzing open source data to create practical examples that demonstrate data science techniques and concepts.,"Alteryx, Inc.","Broomfield, CO",2019-04-09,indeed
data scientist, Participate in the implementation of a data management platform to organize and act on our cross-platform data. Experience with social data or media is a plus.,The18,"Boulder, CO",2019-04-09,indeed
junior data scientist," BS/BA degree (MS preferred) in a quantitative discipline such as computer science, statistics, data science, mathematics, economics or equivalent combination of…",Nutrien Ag Solutions,"Loveland, CO",2019-04-09,indeed
data scientist, The data scientist will also need to integrate data from disparate sources into an efficient and intuitive rational database structure.,Deloitte,"Denver, CO",2019-04-09,indeed
senior data scientist," Detailed knowledge of computer science including data structures, data modeling, distributed systems, and software design methods.",Nexthealth,"Denver, CO",2019-04-09,indeed
data scientist," Master’s degree or PhD in computer science, machine learning, data science, mathematics, statistics, or related quantitative field.",Transamerica,"Denver, CO",2019-04-09,indeed
data scientist," Experience with common data science toolkits, such as R, MatLab, etc; Verify integrity of data used for analysis; Create automated anomaly detection systems.",BPMLinks,"Denver, CO",2019-04-09,indeed
data scientist - behavioral health," Bachelors in biostatistics, clinical science, computer science, public health, statistics, or disciplines which include application of statistical analysis and…",Denver Health,"Denver, CO",2019-04-09,indeed
data science modeler," As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",Avero,"Boulder, CO",2019-03-10,indeed
director integrated data science," Demonstrated knowledge of programming expertise necessary to support data modeling. Demonstrated knowledge of advanced modeling techniques, including data…",UPMC,"Loveland, CO",2019-03-10,indeed
data scientist," University bachelor’s degree in data science, data analysis, statistics, applied mathematics, computer science, engineering, or any other related discipline;…",Willis Towers Watson,"Denver, CO",2019-03-10,indeed
data scientist, Effectively represent the Data Science group in a collaborative environment to execute on company goals. Data visualization software and tools.,Valen Analytics,"Denver, CO",2019-03-10,indeed
sr business analyst / data scientist, See the data “forest for the trees” and help identify connections between existing data sets and holes that could be filled by new analytics and data sets.,PHOENIX,"Denver, CO",2019-03-10,indeed
data engineer, Troubleshoot basic data and data engineering issues. Develop technical solutions to improve data and data usage. Perform data cleansing and validation.,Valen Analytics,"Denver, CO",2019-03-10,indeed
data scientist," Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite hardware, software, and bandwidth…",Horizontal,"Broomfield, CO",2019-03-10,indeed
data scientist, Data Science: 3 years (Preferred). Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite…,Pricesenz,"Broomfield, CO",2019-03-10,indeed
data science analyst, Data Engineer Tech – :Cleaning and Integrating Dirty Data. Could pass ad-hoc technical and whiteboard test given various data ETL and other patterns of real…,xentity corporation,"Denver, CO",2019-03-10,indeed
"senior applications scientist, bioinformatics/data science"," Expertise in probability & statistics, machine learning, high dimensional and high throughput data analysis and fundamentals of data science, including data…",Inscripta,"Boulder, CO",2019-03-10,indeed
data science analyst, Working knowledge of basic data science concepts such as: Synthesize data learnings into compelling stories and communicate to stakeholders.,Payfone,"Denver, CO",2019-03-10,indeed
data science intern," Maxar is looking for a Data Science Intern, to join out 2020 Summer Internship Program, who is excited about working big corpuses of data and novel analytical…",Maxar Technologies,"Westminster, CO",2019-03-10,indeed
data science journalist, Some practical data science experience. Analyzing open source data to create practical examples that demonstrate data science techniques and concepts.,"Alteryx, Inc.","Broomfield, CO",2019-03-10,indeed
data scientist, Participate in the implementation of a data management platform to organize and act on our cross-platform data. Experience with social data or media is a plus.,The18,"Boulder, CO",2019-03-10,indeed
junior data scientist," BS/BA degree (MS preferred) in a quantitative discipline such as computer science, statistics, data science, mathematics, economics or equivalent combination of…",Nutrien Ag Solutions,"Loveland, CO",2019-03-10,indeed
data scientist, The data scientist will also need to integrate data from disparate sources into an efficient and intuitive rational database structure.,Deloitte,"Denver, CO",2019-03-10,indeed
senior data scientist," Detailed knowledge of computer science including data structures, data modeling, distributed systems, and software design methods.",Nexthealth,"Denver, CO",2019-03-10,indeed
