job_title,company,rating,max_rating
Data Scientist,goTRG,4.0,5
Quality Control Scientist,Apellis Pharmaceuticals,4.0,5
Analytics Manager - Data Mart,Central California Alliance for Health,3.5,5
Data Scientist,A Place for Mom,3.0,5
Data Scientist,Affinity Solutions,2.9,5
Data Scientist,Analysis Group,4.0,5
Data Scientist,Avlino,4.9,5
Data Scientist,Great-Circle Technologies,2.2,5
Data Scientist,GEICO,3.3,5
"Scientist, Population Genomics",Wuxi Nextcode,2.9,5
Data Scientist,GovTech,3.7,5
Data Engineer,ManTech,4.1,5
Data Scientist,Mars,3.9,5
"Associate Director, Data Science",Veracyte,3.5,5
Senior Data Engineer,Steady,3.6,5
Senior Data Scientist,Brinks Home Security,3.4,5
Data Scientist,ManTech,4.1,5
Data Scientist,Takeda,3.7,5
Senior Data Engineer,Lendio,4.9,5
Sr Data Scientist,Ecolab,3.6,5
