job_title,sector
Data Scientist,Government
Data Scientist,Insurance
Sr Data Scientist,Manufacturing
Data Engineer,Business Services
"Scientist, Population Genomics",Biotech & Pharmaceuticals
Senior Data Engineer,Information Technology
"Associate Director, Data Science",Biotech & Pharmaceuticals
Data Scientist,Healthcare
Data Scientist,Information Technology
Data Scientist,Manufacturing
Data Scientist,Business Services
Senior Data Engineer,Finance
Quality Control Scientist,Biotech & Pharmaceuticals
Analytics Manager - Data Mart,Healthcare
Data Scientist,Biotech & Pharmaceuticals
Senior Data Scientist,Business Services
